Post,Name,Datetime,Story,year
post-6658254,touberornottouber,"Dec 1, 2020 at 12:34 PM","I get a request for a 7 minute trip on Uber to pick up at Chipotle. I get there and the place is deserted (I don't think it was actually open yet) save for a man sitting at one of the outside tables. The guy looked a bit poor -- like your normal lower class service worker here really.

The guy gets in and immediately slams my door but apologizes right away. Fair play I think to myself. At least he apologized. He ended up being a pretty good passenger and he asked me a lot about Uber. I think this might have been his first Uber ride.

At the destination I end the trip and explain that it should pop up on his phone in a minute or so with a record of the trip and what it cost. About 30 seconds later he tells me that he tipped me $10 and would have tipped more but that was the most they would allow. :/

It occurs to me that this gig would be very different if every passenger tipped like him. Also don't judge a book by the cover. Sometimes what looks like a bad trip can actually end up being really good. I get the feeling the guy tried to tip me $20.",2020
post-6438395,Young Kim,"Aug 10, 2020 at 11:20 PM","Had a young lady pax so uber vegan, that I was struck by her passion. As we drove, she outlined how she first became vegan after watching the movie ""Earthlings 2005"". It is a movie about how animals are treated before they become meat for the population. It is narrated by Joaquin Phoenix. After the ride, I did watch just the preview on YouTube, and I actually shed tears (I never before shed a tear watching just a movie preview). I often like to ask a passenger who I made a solid connection with, ""What are you most passionate about in life?"" She answered with emotion...this particular pax was on a mission to turn everyone she knew to understand how animals suffer before they make it to our dinner plates. I was awestruck by her emotion and persuasion. I've met many vegetarians before, but often they were for religious reasons. This is one of the first who went all out vegan after seeing a movie and then doing her own studies. She told me that she feels that while it may take a long time,future unborn people on Earth will one day look upon present day humans with harsh feelings about how our society consumes meat on a mass scale (knowing how they were treated).",2020
post-6679137,Young Kim,"Dec 13, 2020 at 8:31 AM","Had a pax who was just working now at a restaurant who decided that for himself it made no sense to go to college until he could get the ""full college experience"". He was such a friendly guy and we discussed how going to school now would not allow him any decent experiences. He said that friends ahead of him in college have all remote learning and cannot attend classes or socialize (like going to sports games, clubs, bars, study halls). So he said that he will postpone entering school until he can really have all the experiences he wanted. 

I thought that was problably the best choice. I told him that it was likely the right decision, as college happens only once in your life, and going now may not be the best decision, especially because the cost of college is so great. He told me that a freshman at U. of Dayton pays $40,000/year in tuition alone. We agreed that for that massive of a sum, it is worth it to wait.",2020
post-6486138,AB5,"Aug 30, 2020 at 3:32 PM",Stop being surfs!!!,2020
post-6539343,FLKeys,"Sep 28, 2020 at 11:05 AM","Saturday morning around 2:10 AM I get a Comfort ride ping, I recognize the name, I took them there earlier. As I pull up there is a Sheriff car blocking one of the entrances, his lights were off. I see a deputy shinning his flash light around in the trees and dumpster area. The PAX walk past the sheriff's car and get in my car. Place is usually still pretty packed at this time, the parking lot is pretty much empty.

We pull out and as I am going down the side road toward the main road I pass a couple more deputy cars heading toward the restaurant. Lights were off. I get out on to the main road heading toward their resort and not even a mile down the road I get lit up by a deputy. I pull over and the PAX are like what the hell. I'm like I have no idea, I'm not speeding and I made sure I came to a complete stop at both stop signs I went through.

I pull over and start getting my license, registration, and proof of insurance ready, turn on the interior lights, roll down all the windows and place my hands on top of the steering wheel. I look in my driver rearview mirror and don't see anything, I look in the windshield rearview mirror and catch a glimpse of movement on the passenger side. I look in the passenger side rearview mirror and see a female deputy reach over and touch the back of my car with her left hand, then I see she has her gun drawn in her right hand.

She gets to the rear passenger window and looks in and says you are not the car we are looking for you can go. Before I know what is going on she is back in her car and driving off.

Turns out the PAX tell me some guy came in yelling and screaming and threatened to kick every ones ass and shoot up the place. Caused the place to empty out pretty quick as last call was at 2:00 and they close at 2:30. Explains why the parking lot was so empty.",2020
post-6656158,Young Kim,"Nov 30, 2020 at 6:34 AM","Saturday night around 3:30 am in Elmhurst, IL (southwest of O'Hare Airport), I drove up to the pickup location and saw 5 people standing there. I figured that there would be 2 parties and 2 or 3 pax would get into my Uber. But all five approached, only 1 was masked, and a guy tried to open my passenger side door...

(Potential pax): ""Could you please open the door?""
(Me): ""Ummm... how many are in your party?""
(Potential girl pax): ""5 of us""
(Me): ""Ummm... there can't be anyone in the front seat.""
(Potential girl pax): ""Well, all of us can squeeze in the back seat""
(Me): ""Umm... I don't think all of you can squeeze in the back of a Prius..""
(Potential girl pax): ""We can!""
(Me): ""Also, where are your masks?""
(Potential girl pax who likely ordered the Uber): ""Sorry...but I will tip you really big on the app""
(Me): ""Umm... I'm so sorry... but..
(Potential girl pax): ""Please... we waited so long for an Uber...""
(Me): ""Can you please order an XL?""
(Potential girl pax): ""We can't find one""
(Me): ""How about two UberXs?""
(Potential girl pax): ""Please can you fit all of us?""
... I'm really thinking here then why didn't they order 2 Ubers, but I realized this crowd was a few cards short of a full deck at this point... and this was the kind of bizarre behavior I would have expected over a year ago, but now? Where were these people living? I am now thinking that there was more than just alcohol involved in their past social gathering.
(Me):  ""I'm so sorry. But it would be totally unsafe""... Then I cancelled and drove off.

My very next request was a ping to the Elmhurst Police Station. I figured immediately it was a DUI situation, as it was 4:00 am in the morning. When I got to the pickup location the pax was nowhere to be found. Then I received a text message:

(Potential pax): ""Could you pick us up? We are walking down 1st Ave (I think it was 1st Ave)""
(Me) ""I don't know where exactly you are, could you give me a cross street or address?""
(Potential pax): ""We don't know where we are, my buddy got a DUI and we are walking home""
(Me) ""Then why did you order an Uber?"" (I was only 5 minutes from the pickup location so it wasn't as if they were waiting long for the pickup)
(Potential pax): ""I dunno, but we are walking down some street and there is a stoplight in front of me""
(Me) ""Sorry sir, that does not help me...""
(Potential pax): ""Well, we are almost home now, could you cancel the ride? We are so sorry to bother you""
(Me): ""Well, you should cancel the ride""
(Potential pax): ""OK, good night""
(Me): ""OK, bye!""

I waited til the timer ran down, but he cancelled right at the end. Easiest 8 bucks I made that night (2 times $4 cancellation fee)

I am wondering if anyone else recently had pax that seemed like they lost their senses and ability for rational thought...",2020
post-6666097,Coxpal,"Dec 5, 2020 at 7:32 PM","The Giveaway is :  ; 

COXPAL A9D Dual Dash Cam:



Rules of participation are as follows:

Welcome questions if you have any! Hope you enjoy our COXPAL A9D Dual Dash Cam!",2020
post-5795907,WNYuber,"Jan 22, 2020 at 5:20 PM","The World Health Organization says this deadly virus is a huge issue and it has hit the mainland USA. 
We don't know where these Pax have been or who they were in contact with. I've never been as sick during the Winter as I have been lately since driving Uber.
I'm pondering driving with one of these on......



Kang what do u do if u pick up a client and they are just hacking away back there? It's 10 degrees outside and u can't(shouldn't) open the windows. You pray to God the ride ends soon but your hitting every traffic light. They are coughing, sneezing, and germs are flying everywhere for the entire 20 minute ride.",2020
post-6688915,Stevie The magic Unicorn,"Dec 18, 2020 at 9:19 PM","So like I’ve said before,
It doesn’t matter how many people your car can seat someone will come along and try to swueeze in more:

I’n down at Disney magic kingdom tonight.

some folks walk up and they tell me 7...

ok I walk them to the van behind me.

I see the driver refuse them service.

“Hey folks umm what’s going on?”

“De have 9, can’t take 9 and they won’t split the fare” (yes they expect to clown car 9 people into the van

I roll my eyes..: fricken idiot as I talk to the other cabbie and he tells me that they were holding babies and saying they didn’t count.

“**** yes they count” I tell

Yeah... yeah.... same old same old.

Another van shows up the same side and they walk up to driver #3.

They walk up to him and the driver points forward but I don’t hear what’s said. He walks up and asks van driver #1 what’s going on.

“they says you won’t take them because they aren’t going far enough”

“no nine of them” van driver #1 tells him. I’m standing next or van driver one and that damn other driver goes and loads 9 of them and drives off.

“What an idiot” I mutter.

“he’s going to lose his job, anything happens and they comin for blood”


So guys... yeah this is a story we’ve heard 1000 times:

Passenger wants to break the rules and says “the other driver does it” and we just stand there rolling our eyes as we watch another driver do it...",2020
post-6681519,Cvillegordo,"Dec 14, 2020 at 8:37 PM","This afternoon I accepted a trip to ""Ivy Dental"" without looking closely. There is a dentist by that name here in Ivy, just west of Charlottesville. Picked up a nice Chinese girl at one of the grad student housing buildings at UVA. Very friendly right off the bat, a bit strange that she had a fairly large suitcase maybe. She was quite excited about me accepting her ride when she got in, but my brain was still not processing the information. I started the trip and it was odd that the app continued to process the trip for a couple minutes without showing the route, etc. but I thought it was just a bad signal. I moved away from the building and Boom! 

Distance to destination; 373 miles. Total time: over 7 hours. I dropped down the routing and saw; Ivy Dental. Elmsford, NEW YORK!

I turned to the pax and she clearly saw the look on my face, she said; ""We can stop whenever necessary. ""

Turns out she was going to Elmsford, NY, her home, needed to get there by tomorrow morning. 

I was genuinely sad to have to cancel, but there was no way I could just take off on a 14 hour+ round trip without some serious planning. 

What would you have done? I wonder if she got a ride.",2020
post-6718293,goneubering,"Dec 30, 2020 at 1:52 AM","“And he played classical music”, she continued.

“And he gave us two water bottles”, she claimed.

I just laughed and said “Wow!”

i guess she didn’t like my Civic. ",2020
post-6562527,dauction,"Oct 10, 2020 at 5:22 AM","

I was talking to Tron on another thread. I have been getting $1 extra on every ride in my Chevy Bolt for the past 2 weeks and wasn't sure if it was just regular quest of if it was because of Ubers EV Green program... looks like I am getting the $1 extra per ride because of the EV green program. And the payouts continue until Sept of 2021 ! Thats a big deal ..I though I could pull in $6000 extra (based on my 20 rides aday) but looks like they limit it to $4,000 still a big deal though.







The Bolt is one of very few (at a price that makes sense to buy) that actually give you enough range 238 miles on a charge (the new 2020's 259miles)

If you live in a warm climate the LT model is fine.. In cold climates, you really want the premier with heated seats (including rear) , heated Steering wheel, and USB plugs in the rear.






NOT THIS>>

",2020
post-5758973,Coastal_Cruiser,"Jan 13, 2020 at 12:20 AM",What is the average credit rating of an Uber driver? Feel free to post yours anonymously.,2020
post-6715967,Seamus,"Dec 29, 2020 at 10:54 AM","Dedicated to UP members who at one time made frequent significant contributions and are either totally gone from the forum or are rarely seen. If I missed any let me know.  almost made the list but started posting in November! LOL (Those purged aren't included):








@JayDean





Happy New Year!",2020
