clean_story,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_positive,sentiment_type,happy,angry,surprise,sad,fear,year,Name
"Howdy all you Ants On this episode of Id like to discuss Ants smoking lung darts on the job I have heard too many an ant on here discussing their participation in smoking 

In a service industry like ours our ONLY goal is to provide our services at the highest level To do this one must not smoke heaters It makes you odiferously unpleasantly it makes your car smell and it turns off our customers If our customers have too many bad experiences with tabacco smoking ants they may not come back to the platform Your disgusting habit is hurting us all

If you ants have no self control please at least switch to vaping But please dear god almighty savior of heaven and earth dont think that vaping is acceptable either",0.7269,0.079,0.788,0.133,Positive,0.03,0.14,0.21,0.28,0.34,2018,ftupelo
"A guy named Russel ordered a Lyft So looking at the map it pretty much was making a uturn down the road So I happen to pull over to a power station where I guess the trucks service them Anyway this shaved over  miles off his pickup and probably  mins Well it wasnt meant to be He then cancelled after  to  seconds I literally face palmed I guess its like hitting a homerun and losing

A couple of times I made a wrong move and made the pickup longer and the rider didnt even cancel These free cancels just suck",0.0875,0.121,0.755,0.124,Negative,0.18,0.18,0.18,0.36,0.09,2021,June132017
"Maybe it was the fact that my car smelled like a mixture of ditch weed and Ozium she immediately rolled down the window after getting in Maybe it was the fact that I accepted the ping just after I started pumping gas and it took me a couple of minutes to finish Maybe it was the fact that she was worried about being late She definitely struck me as an ABF but I cant cancel once I see the scowl or I will get DAd for racism Anyhoo Im pretty sure this one d me this morning

Hey lady if you were really worried about being late for work as indicated by your preference for the faster route instead of the shorter route then why werent you Toes on Curb Just asking",0.2406,0.082,0.814,0.104,Negative,0.11,0.05,0.21,0.26,0.37,2018,MadTownUberD
My account has never been placed on hold for a background check until now  days and countingPoor ass business performance,-0.5423,0.163,0.837,0.0,Negative,0.25,0.0,0.0,0.0,0.75,2021,Bojingles
"Guess things in Salt Lake City are getting back to normal there are  to  concerts tonight in the valley including one at Usana just down the road from me

This is the most surge I have seen in a year And of course hubby has the car",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.5,0.25,0.25,2021,MissAnne
"I get a ride request to go to an apartment When I arrive it shows me that it is a scheduled ride for    It is  so I message them to let them know i am in front of the building there are  buildings in this complex and the GPS is often off She messages back that she will need a couple minutes I say no problem because I can live with  minutes But then she messages back that she uses the scheduled rides to give her some extra leeway she is thinking that she has until  to come out and is starting to get snooty with me I consider messaging back to tell her no she misunderstood how it works but thought better of it as you never know how they will react I also consider whether I should just cancel the ride then and there and leave to avoid having to deal with her but decide to let it go

It finally tells me I can now cancel and get paid I decide to wait an extra three minutes just to be a nice guy I really am not a jerk honest Finally I am over  minutes in now Its  so I cancel

She was going to wait to  to show me and make me wait for being impatient I wonder how that worked out for her I drove away about  richer Sorry lady but I aint your butler and your ride was going to be a minimum fare I am sure she was ont he phone with Uber Hopefully they told her how it works but I doubt it",-0.0936,0.106,0.815,0.079,Negative,0.03,0.03,0.23,0.26,0.46,2021,touberornottouber
"I thought a thread dedicated to funny screenshots would make for a good laugh These can be ones that show some crazy low pax rating wacky pax messages through the app funny notifications from Lyft or Uber or anything else that made you raise an eyebrow and you thought quick enough to screenshot it


Heres one I had with the longest ping Ive ever gotten  minutes and probably  miles to pick up a pax Yeah Ill get right on that  





Heres one where my AR and CR both plummeted to  Good for the CR but wow I didnt know I was turning down that many rides Turns out it was a glitch of course Returned to normal the next day




Anyone getting these crazy long waits for scheduled rides lately Ive made a habit of checking beforehand because Uber will sometimes send me to a pax when theres as much as  minutes before their scheduled ride Wow Just wow Needless to say I cancelled with a dont want to wait

",0.9596,0.066,0.774,0.16,Positive,0.1,0.06,0.45,0.13,0.26,2021,losiglow
"Hello all
I drive in Chicago and today I had someone named ozasee for a ride I discovered he wasnt wearing a mask and refused to put one on Once he did it was under his chin and I repeatedly asked him to put it on He put it under his nose and started complaining about Chicago not having a mask mandate I explained it was Ubers policy and Chicago had nothing to do with it He refused to put it on so I pulled over to a gas station and ended the ride He then refused to get out of the car and I had to call the police This is how my day started today His pickup location was  He was verbally abusive about getting out of the car and wouldnt get out Uber sent him a message reminding him about the mask and he will have to prove with a photo that hes wearing a mask before getting a ride Nothing about him being rude or anything from Uber Stupid useless people in that company Just be warned about this person named ozasee in Chicago",-0.9701,0.13,0.87,0.0,Negative,0.04,0.0,0.09,0.57,0.3,2021,Dr.Y
"


As some know here I decided to go and get a real job like my wife had been suggesting

You know a W No I dont care if you dont want to flip burgers 

Well I thought that I was doing pretty well driving Uber after expenses still about what I earned as a paramedic but my  Civic hit k and gas prices are through the roof

So real job

Back to EMS Still a maybe But Im not in my s anymore a touch of PTSD and two hernias

Back to programming Competitive also for the young and I do not want to be behind a desk

Law enforcement That was on my horizon before we moved to the big city and stuff happened

So one night I decided to send a Facebook message to a limousine company that I first noticed before I started rideshare full time brand new to the city life Instant reply I was hired on the spot two days later

First vehicle I drove was a Chrysler  Brakes were shot Second another  tires were bald and one had an enormous chunk of rubber missing

Soul searched for about three days and posted here Decided to give them the benefit of doubt just as I would want emailed them basically saying that they are awesome but I cant drive unsafe shit

Owners girlfriend stepped in took care of everything like a boss and I am now driving their best The pandemic nearly killed their business that section of the fleet is just now becoming more in demand

Now Winifred She had just become a regular when I started  very well to do First trip was from an independent care facility now assisted living unit shes not happy to the afternoon Mass

I was warned in advance and given a salute by her last driver before I headed to pick her up  third trip for the company Very demanding pax and she needs a lot of help getting in and out of the car

She asked me to do five things at once said shes old enough to be my grandmother Moms her age AC was either too hot or too cold and made me pull over to find the right radio station All in the first five minutes 

First time waiting for a pax on the job People were commenting on the fancy car parked by the door to the church It was her first Mass since the pandemic began

After I got her situated in the car again she started to apologize for how she acted before I cut her off Told her that I know chronic pain when I see it arthritic obese and how it can definitely  with your mood And I told her to stop calling herself old

Dropped her off called the company and told them that if Winifred ever needs a ride to PLEASE let me know And she requested me for her next trip

Mass again yesterday this time I joined her Boss asked if we needed to charge extra for an escort 

And thats my Sunday moving forward Paid a decent amount to drive a friend Winifred said Id better not think of her as a pax to church and back

Oh and here I am picking up her phone off of the road yesterday because I put it on the roof and forgot Not a scratch Divine intervention




Rideshare has been either extremely profitable here or less than minimum wage just seems to be how the wind blows Tips are pretty much unheard of pick up distance is still pretty high for most pings Pax are still left stranded at our airport

Even though Im not totally down with it seems a bit low I earn hr from when I leave the garage that can be home if the car isnt needed before or between trips until I return

unlike Uber and Lyft tips are included minimum of   and many fares are  So no dead miles and no expenses Lately driving a  Lincoln MKT  Continental  Suburban and soon a  Continental

Pax run the gamut from Winifred to newlyweds executives flight crews airport to hotel and back organ transplant teams and  last week  a show creator for AMC followed by his lead actor

I was star struck enough then had the surreal experience of the main man behind the show asking me to stop so he could literally run a block to an ATM so he could tip me  cash in addition to the  or so included short airport run

In conclusion companies like this are hiring Oh rideshare drivers are un employable  bullshit I submitted a resume showed up on time wearing a suit heres where the keys are water bottles are over there when can you start  that was the interview

So if you are burnt out being an ant hate that term but whatever consider the option And Im part time for now still anting on and off

My theme song right now 



",-0.9285,0.099,0.821,0.08,Negative,0.06,0.05,0.24,0.27,0.38,2021,Benjamin M
"Ok we all know that Lyft is ripping everyone off from both ends while were doing all the work but I gotta admit that driving the graveyard shift with Lyft in Chicago is still making me  an hour average and I even got five times in two months All I do every night is pick up hot chicks in mini skirts and high heels and then do lots of club hopping

Finally got some perks",0.0,0.037,0.913,0.05,Neutral,0.0,0.08,0.0,0.33,0.58,2021,SicilianDude
